Rank,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Age,Year_Event,YearGroup,AgeGroup,Time,Time_Sec
5571,Yodai GUNJI,01/01/1997,JPN,19f16,Yokohama (JPN),23/09/2017,1033,21.0,2017,2010-2019,20-25,29:05:28,1745.28
5571,Mitsuaki TAKAHASHI,02/05/1998,JPN,13f2,Kitami (JPN),07/07/2018,1033,20.0,2018,2010-2019,20-25,29:05:28,1745.28
5573,Manuel PACHECO,02/08/1967,POR,2,Maia (POR),28/06/2003,1033,36.0,2003,2000-2009,36-41,29:05:34,1745.34
5573,Matthew MELANCON,nan,USA,7f2,"Palo Alto, CA (USA)",01/04/2016,1033,,2016,2010-2019,40+,29:05:34,1745.34
5575,Michalis GELASSAKIS,21/04/1976,GRE,7,Maribor (SLO),03/04/2004,1033,28.0,2004,2000-2009,26-30,29:05:37,1745.37
5576,Chihaya KASUGA,09/05/1995,JPN,11f10,Kanagawa (JPN),21/11/2015,1033,20.0,2015,2010-2019,20-25,29:05:39,1745.39
5577,Mike LONG,10/01/1951,USA,4,"Hayward Field, Eugene, OR (USA)",27/04/1974,1033,23.0,1974,1970-1979,20-25,29:05:4,1745.4
5578,Kai ZHENG,27/02/1980,CHN,1,Tiantai (CHN),27/10/2002,1033,23.0,2002,2000-2009,20-25,29:05:43,1745.43
5578,Chihiro ONO,22/07/1999,JPN,16f9,"Kamiyugi Park Athletic Stadium, Hachioji (JPN)",21/11/2020,1033,21.0,2020,2020+,20-25,29:05:43,1745.43
5580,Sharif KARIE,01/01/1978,USA,7,"Walnut, CA (USA)",20/04/2001,1033,23.0,2001,2000-2009,20-25,29:05:49,1745.49
5581,Jonathan HARPER,nan,USA,8f2,"Palo Alto, CA (USA)",31/03/2017,1033,,2017,2010-2019,40+,29:05:50,1745.5
5582,Shadrack KIPCHIRCHIR,25/04/2001,KEN,5,"Nyayo National Stadium, Nairobi (KEN)",27/02/2021,1033,20.0,2021,2020+,20-25,29:05:5,1745.5
5583,László SZÁSZ,25/09/1961,HUN,5,Budapest (HUN),01/06/1986,1033,24.0,1986,1980-1989,20-25,29:05:53,1745.53
5584,Takayuki OTA,29/11/1982,JPN,35,Yokohama (JPN),01/12/2001,1033,18.0,2001,2000-2009,0-19,29:05:55,1745.55
5585,Zack SABATINO,11/03/1983,USA,23,"Palo Alto, CA (USA)",31/03/2006,1033,22.0,2006,2000-2009,20-25,29:05:59,1745.59
5585,Jeroen HENDRIKX,08/05/1986,BEL,20,Leiden (NED),11/06/2016,1033,30.0,2016,2010-2019,26-30,29:05:59,1745.59
5587,Masaki KODAMA,03/01/2002,JPN,16,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",10/04/2021,1033,20.0,2021,2020+,20-25,29:05:61,1745.61
5588,Haijun ZHAO,09/02/1980,CHN,2,Guangzhou (CHN),18/11/2001,1033,21.0,2001,2000-2009,20-25,29:05:65,1745.65
5588,Andriy NAUMOV,21/12/1973,UKR,5,Donetsk (UKR),10/06/2002,1033,29.0,2002,2000-2009,26-30,29:05:65,1745.65
5590,Giammarco BUTTAZZO,23/08/1977,ITA,12,Antalya (TUR),15/04/2006,1033,29.0,2006,2000-2009,26-30,29:05:68,1745.68
5591,Dustin HATFIELD,nan,USA,6,"UVA Lanningan Field, Charlottesville, VA (USA)",16/04/2021,1033,,2021,2020+,40+,29:05:69,1745.69
5592,Yerson ORELLANA PORRAS,05/01/1993,PER,1f2,"Torrance, CA (USA)",13/04/2017,1033,24.0,2017,2010-2019,20-25,29:05:70,1745.7
5593,Tatsumi SHINOHARA,nan,JPN,57,Yokohama (JPN),02/12/2007,1033,,2007,2000-2009,40+,29:05:71,1745.71
5594,Abdelhaq LE BOUZADA,01/01/1972,MAR,1,St-Maur (FRA),09/06/1999,1033,28.0,1999,1990-1999,26-30,29:05:75,1745.75
5595,Nahashion Kipngetich RUGUT,07/02/1984,KEN,1,Villa d'Ogna (ITA),25/04/2007,1033,23.0,2007,2000-2009,20-25,29:05:76,1745.76
5596,Sergey DAVYDOV,31/01/1969,RUS,4,Tula (RUS),22/07/2000,1033,31.0,2000,2000-2009,31-35,29:05:78,1745.78
5597,W. CHEPSEIN,nan,KEN,3,Nairobi (KEN),27/05/2000,1033,,2000,2000-2009,40+,29:05:8,1745.8
5597,Timothy KIMELI,20/01/1994,KEN,8,Nairobi (KEN),12/05/2017,1033,24.0,2017,2010-2019,20-25,29:05:8,1745.8
5599,Aleksey VIKULOV,14/04/1995,RUS,9,Zhukovskiy (RUS),30/06/2018,1033,23.0,2018,2010-2019,20-25,29:05:81,1745.81
5600,Lane WERLEY,28/04/1993,USA,18,"Portland, OR (USA)",10/06/2017,1033,24.0,2017,2010-2019,20-25,29:05:83,1745.83
5601,Yevgeniy PISHCHALOV,23/02/1985,RUS,7,Moskva (RUS),11/06/2013,1033,29.0,2013,2010-2019,26-30,29:05:86,1745.86
5602,Chris LUNDSTROM,11/03/1976,USA,15,"Palo Alto, CA (USA)",29/03/2002,1033,25.0,2002,2000-2009,20-25,29:05:90,1745.9
5603,Mustapha TACHFIT,01/01/1991,MAR,2,Rabat (MAR),06/06/2015,1033,24.0,2015,2010-2019,20-25,29:05:91,1745.91
5604,Hassan Dawoud SEDAM,30/01/1986,QAT,3,Incheon (KOR),02/09/2005,1033,19.0,2005,2000-2009,0-19,29:05:93,1745.93
5604,Dario DE CARO,01/06/1997,ITA,17,"Hayward Field, Eugene, OR (USA)",02/04/2021,1033,24.0,2021,2020+,20-25,29:05:93,1745.93
5606,John SCHONDELMAYER,09/12/1971,GER,2,Troisdorf (GER),27/05/2000,1032,29.0,2000,2000-2009,26-30,29:05:95,1745.95
5606,Tomonori IKEBUCHI,13/08/1988,JPN,11,Hiroshima (JPN),17/05/2014,1032,26.0,2014,2010-2019,26-30,29:05:95,1745.95
5608,Drew SHACKLETON,21/01/1986,USA,8f2,"Palo Alto, CA (USA)",28/03/2009,1032,23.0,2009,2000-2009,20-25,29:05:97,1745.97
5609,Alex DILLARD,nan,USA,8f2,"Palo Alto, CA (USA)",01/04/2016,1032,,2016,2010-2019,40+,29:05:98,1745.98
5609,Shuaib ALJABALY,16/02/2000,USA,11f1,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",05/12/2020,1032,20.0,2020,2020+,20-25,29:05:98,1745.98
5611,Mike KIPNGENO,11/12/1993,KEN,6,Kericho (KEN),07/07/2012,1032,19.0,2012,2010-2019,0-19,29:06:0,1746.0
5611,Leonard KIPROTICH,01/01/2000,KEN,2,Nairobi (KEN),13/06/2017,1032,17.0,2017,2010-2019,0-19,29:06:0,1746.0
5613,Tekalegne SHEWAYE,01/01/1975,ETH,5,"Estadio Universitario, Lisboa (POR)",20/07/1994,1032,20.0,1994,1990-1999,20-25,29:06:03,1746.03
5614,Javier CARRIQUEO,29/05/1979,ARG,5,Buenos Aires (ARG),05/06/2011,1032,32.0,2011,2010-2019,31-35,29:06:04,1746.04
5615,Shunsuke HANADA,04/01/1980,JPN,41,Yokohama (JPN),30/11/2002,1032,23.0,2002,2000-2009,20-25,29:06:05,1746.05
5616,Junpei NISHI,31/10/1995,JPN,6,Miyazaki (JPN),21/10/2017,1032,22.0,2017,2010-2019,20-25,29:06:07,1746.07
5617,Ali Thamer KAMAL,12/11/1988,QAT,4,Amman (JOR),18/05/2007,1032,18.0,2007,2000-2009,0-19,29:06:1,1746.1
5617,Samuel KAPCHEROP,01/01/1993,KEN,9,Nairobi (KEN),17/06/2010,1032,17.0,2010,2010-2019,0-19,29:06:1,1746.1
5619,Reed CONNOR,25/09/1990,USA,1,"West Lafayette, IN (USA)",16/05/2014,1032,24.0,2014,2010-2019,20-25,29:06:10,1746.1
5619,Tonosa HIKO,09/10/1995,ETH,4f1,"Mary Peters Track, Belfast (GBR)",19/12/2020,1032,25.0,2020,2020+,20-25,29:06:10,1746.1
5621,Mike NIELSON,nan,USA,27,"Palo Alto, CA (USA)",25/03/2005,1032,,2005,2000-2009,40+,29:06:11,1746.11
5622,Tim VINCENT,06/09/1998,AUS,9,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",26/01/2021,1032,23.0,2021,2020+,20-25,29:06:12,1746.12
5623,Bruno ALBUQUERQUE,10/01/1989,POR,6f1,Huelva (ESP),08/04/2017,1032,28.0,2017,2010-2019,26-30,29:06:13,1746.13
5624,Tomohiko TAKENAKA,18/05/1985,JPN,2f2,Hiroshima (JPN),03/10/2015,1032,30.0,2015,2010-2019,26-30,29:06:14,1746.14
5625,Mark LEINENGER,25/02/1991,USA,19,"Portland, OR (USA)",10/06/2017,1032,27.0,2017,2010-2019,26-30,29:06:15,1746.15
5626,Rafał WÓJCIK,18/09/1972,POL,5,Miedzyzdroje (POL),07/05/2005,1032,33.0,2005,2000-2009,31-35,29:06:16,1746.16
5627,Christopher ALFOND,nan,USA,7,"UVA Lanningan Field, Charlottesville, VA (USA)",16/04/2021,1032,,2021,2020+,40+,29:06:17,1746.17
5628,Yohei SATO,31/08/1976,JPN,12,Miyoshi (JPN),18/05/2003,1032,27.0,2003,2000-2009,26-30,29:06:18,1746.18
5629,Kanta IKEDA,05/09/1998,JPN,7,"Chuo University Stadium, Hachioji (JPN)",08/03/2020,1032,22.0,2020,2020+,20-25,29:06:19,1746.19
5630,Milan KOCOUREK,06/12/1987,CZE,15f1,Bilbao (ESP),03/06/2012,1032,25.0,2012,2010-2019,20-25,29:06:21,1746.21
5630,Yunlong TAI,11/05/1991,CHN,3,Shenyang (CHN),10/09/2013,1032,22.0,2013,2010-2019,20-25,29:06:21,1746.21
5632,Kenta MURAI,07/05/1981,JPN,8,Konosu (JPN),28/09/2002,1032,21.0,2002,2000-2009,20-25,29:06:22,1746.22
5633,Abdullah YOUSSEF,10/12/1972,QAT,5,Hiroshima (JPN),10/10/1994,1032,22.0,1994,1990-1999,20-25,29:06:23,1746.23
5634,Shota NAGUMO,11/12/1992,JPN,14f4,Yokohama (JPN),16/11/2013,1032,21.0,2013,2010-2019,20-25,29:06:24,1746.24
5635,Hassan CHAHDI,07/05/1989,FRA,2,Uster (SUI),27/06/2014,1032,25.0,2014,2010-2019,20-25,29:06:25,1746.25
5636,Iván SÁNCHEZ,22/02/1975,ESP,12,Barakaldo (ESP),13/07/2002,1032,27.0,2002,2000-2009,26-30,29:06:26,1746.26
5637,Szymon KULKA,22/06/1993,POL,1,Bielsko-Biala (POL),20/05/2017,1032,24.0,2017,2010-2019,20-25,29:06:28,1746.28
5638,Daito SONOKI,15/01/2002,JPN,4f10,"Gion Stadium, Sagamihara (JPN)",23/11/2020,1032,19.0,2020,2020+,0-19,29:06:35,1746.35
5639,Taisuke FUNAKOSHI,16/10/1984,JPN,12f10,Yokohama (JPN),04/12/2010,1032,25.0,2010,2010-2019,20-25,29:06:36,1746.36
5640,Shun YOSHIZATO,18/08/1998,JPN,17f8,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1032,22.0,2020,2020+,20-25,29:06:37,1746.37
5641,Jos SASSE,23/10/1957,NED,3,Amersfoort (NED),24/05/1988,1032,31.0,1988,1980-1989,31-35,29:06:4,1746.4
5642,Naoshi MAIE,02/02/1990,JPN,3f15,Yokohama (JPN),27/09/2014,1032,25.0,2014,2010-2019,20-25,29:06:44,1746.44
5643,Kodai FUKUNAGA,26/08/1980,JPN,14,Kita-Kyushu (JPN),14/05/2005,1032,25.0,2005,2000-2009,20-25,29:06:48,1746.48
5644,Michael CHETTLE,06/08/1977,AUS,4,Melbourne (AUS),04/12/2004,1032,27.0,2004,2000-2009,26-30,29:06:49,1746.49
5645,Yuta NAKAYAMA,07/03/2001,JPN,18f8,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1032,19.0,2020,2020+,0-19,29:06:50,1746.5
5646,Patrick RIZZO,25/07/1983,USA,7,"Berkeley, CA (USA)",23/04/2010,1032,27.0,2010,2010-2019,26-30,29:06:54,1746.54
5647,Naoki SUDA,nan,JPN,10f4,Yokohama (JPN),20/11/2010,1032,,2010,2010-2019,40+,29:06:56,1746.56
5648,Ryo ONISHI,26/11/1991,JPN,23f2,Abashiri (JPN),16/07/2015,1032,24.0,2015,2010-2019,20-25,29:06:57,1746.57
5648,Isaac HARDING,29/01/1998,USA,9f2,"Paul Derr TF Facility, Raleigh, NC (USA)",26/03/2021,1032,23.0,2021,2020+,20-25,29:06:57,1746.57
5650,Takashi OTSU,15/07/1983,JPN,1,Kagoshima (JPN),06/01/2002,1032,19.0,2002,2000-2009,0-19,29:06:59,1746.59
5650,Paulo Alves DOS SANTOS,15/03/1977,BRA,2,São Paulo (BRA),03/06/2004,1032,27.0,2004,2000-2009,26-30,29:06:59,1746.59
5652,Shota YAMAZAKI,11/05/1990,JPN,3,Oita (JPN),05/10/2008,1032,18.0,2008,2000-2009,0-19,29:06:60,1746.6
5653,Mark PIKORIA,nan,KEN,1,Nakuru (KEN),03/04/2010,1032,,2010,2010-2019,40+,29:06:6,1746.6
5654,Renya SUGIYAMA,nan,JPN,6f1,Kobe (JPN),19/04/2014,1032,,2014,2010-2019,40+,29:06:61,1746.61
5655,Caleb GARNICA,nan,USA,7,"Cobb Track and Angell Field - Stanford University, Palo Alto, CA (USA)",02/04/2021,1031,,2021,2020+,40+,29:06:64,1746.64
5656,Eric NIYONSABA,19/04/1988,BDI,14f1,St-Maur (FRA),06/06/2008,1031,20.0,2008,2000-2009,20-25,29:06:65,1746.65
5656,Michael VANVOORHIS,nan,USA,3,"West Lafayette, IN (USA)",16/05/2014,1031,,2014,2010-2019,40+,29:06:65,1746.65
5658,David BYRNE,30/01/1981,AUS,,Inglewood (NZL),21/01/2006,1031,25.0,2006,2000-2009,20-25,29:06:67,1746.67
5659,Juan Gualberto VARGAS SANCHEZ,12/07/1977,MEX,,Abbotsford (CAN),17/06/2005,1031,28.0,2005,2000-2009,26-30,29:06:70,1746.7
5660,Marko KOTILA,01/07/1974,FIN,4,Espoo (FIN),18/05/2002,1031,28.0,2002,2000-2009,26-30,29:06:71,1746.71
5660,Tagui KOMESAWA,nan,JPN,46,Yokohama (JPN),26/11/2006,1031,,2006,2000-2009,40+,29:06:71,1746.71
5662,Willy KIPCHUMBA,01/01/1969,KEN,8,Nairobi (KEN),29/06/1996,1031,27.0,1996,1990-1999,26-30,29:06:80,1746.8
5663,Evans KIPCHUMBA,18/12/1974,KEN,3,Kakamega (KEN),11/05/1999,1031,25.0,1999,1990-1999,20-25,29:06:8,1746.8
5663,Aguelmis ROJAS,28/03/1978,CUB,1,Santa Clara (CUB),27/06/2002,1031,24.0,2002,2000-2009,20-25,29:06:8,1746.8
5663,David KIPTUM KIPRUTO,02/11/1975,KEN,1,Villanova d'Asti (ITA),25/04/2006,1031,31.0,2006,2000-2009,31-35,29:06:8,1746.8
5665,Hayato YAMAMURA,27/09/1993,JPN,4f2,Hachioji (JPN),26/11/2016,1031,23.0,2016,2010-2019,20-25,29:06:80,1746.8
5667,William NARANJO,18/08/1978,COL,8,Bilbao (ESP),23/06/2007,1031,29.0,2007,2000-2009,26-30,29:06:81,1746.81
5667,Emanuel Giniki GISAMODA,18/05/1988,TAN,4,"Five Rings Sports Center, Wuhan (CHN)",23/10/2019,1031,31.0,2019,2010-2019,31-35,29:06:81,1746.81
5669,Tomohiro MATSUSHITA,29/05/1986,JPN,2,Hachioji (JPN),28/11/2007,1031,22.0,2007,2000-2009,20-25,29:06:82,1746.82
5669,Jannis TÖPFER,01/10/1989,GER,12f2,"Palo Alto, CA (USA)",02/05/2015,1031,26.0,2015,2010-2019,26-30,29:06:82,1746.82
5671,Wesley KORIR,15/11/1982,KEN,1,"Storrs, CT (USA)",06/05/2007,1031,25.0,2007,2000-2009,20-25,29:06:83,1746.83
5672,Michael VERNAU,nan,USA,10f2,"Palo Alto, CA (USA)",29/03/2019,1031,,2019,2010-2019,40+,29:06:84,1746.84
5673,Jonathan CASTANEDA,16/12/1985,MEX,3,San José del Cabo (MEX),21/05/2010,1031,24.0,2010,2010-2019,20-25,29:06:85,1746.85
5674,Hassan TARIQ,nan,MAR,5,Cairo (EGY),05/04/2019,1031,,2019,2010-2019,40+,29:06:88,1746.88
5674,Chihiro FUJIE,07/01/1997,JPN,14f6,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",16/11/2019,1031,22.0,2019,2010-2019,20-25,29:06:88,1746.88
5676,Kyle MATTES,nan,USA,11f2,"Palo Alto, CA (USA)",29/03/2019,1031,,2019,2010-2019,40+,29:06:89,1746.89
5677,Dan SCHUBERT,nan,USA,10f2,"Palo Alto, CA (USA)",01/04/2016,1031,,2016,2010-2019,40+,29:06:90,1746.9
5678,Bethwel YEGON,05/01/1993,KEN,4,Tambach (KEN),16/03/2019,1031,26.0,2019,2010-2019,26-30,29:06:9,1746.9
5679,Isamu SUEYOSHI,05/07/1982,JPN,2f5,Yokohama (JPN),21/11/2009,1031,28.0,2009,2000-2009,26-30,29:06:92,1746.92
5680,Tibor BAIER,07/10/1966,HUN,4,Budapest (HUN),22/05/1988,1031,22.0,1988,1980-1989,20-25,29:06:93,1746.93
5681,Tsuyoshi EBISAWA,04/07/1994,JPN,8f8,Yokohama (JPN),25/04/2015,1031,21.0,2015,2010-2019,20-25,29:06:95,1746.95
5681,Shusei SUZUKI,13/07/1994,JPN,21f14,Yokohama (JPN),03/12/2016,1031,22.0,2016,2010-2019,20-25,29:06:95,1746.95
5683,Yusuke TOBIMATSU,28/08/1991,JPN,12f3,"Hosei University Stadium, Machida (JPN)",25/11/2017,1031,26.0,2017,2010-2019,26-30,29:06:98,1746.98
5684,Kenji SHIMIZU,04/05/1985,JPN,2f14,Yokohama (JPN),27/09/2014,1031,29.0,2014,2010-2019,26-30,29:07:00,1747.0
5684,Julius KIPNGETICH,01/01/1991,KEN,5f5,Marina di Carrara (ITA),22/04/2017,1031,26.0,2017,2010-2019,26-30,29:07:00,1747.0
5686,Lambros ZARAGAS,19/04/1975,GRE,,Athina (GRE),12/04/2003,1031,29.0,2003,2000-2009,26-30,29:07:03,1747.03
5687,Minefumi AYASE,01/01/1987,JPN,19,Ageo (JPN),13/05/2006,1031,19.0,2006,2000-2009,0-19,29:07:05,1747.05
5688,Ryohei FUJISAWA,08/07/1983,JPN,47,Yokohama (JPN),26/11/2006,1031,23.0,2006,2000-2009,20-25,29:07:06,1747.06
5688,Robert SCRIBNER,16/11/1985,USA,11f2,"Palo Alto, CA (USA)",28/03/2009,1031,23.0,2009,2000-2009,20-25,29:07:06,1747.06
5690,Du-haeng LEE,25/12/1981,KOR,19,Kushiro (JPN),16/06/2004,1031,22.0,2004,2000-2009,20-25,29:07:12,1747.12
5690,Tanner CHADA,nan,USA,10f2,"Paul Derr TF Facility, Raleigh, NC (USA)",26/03/2021,1031,,2021,2020+,40+,29:07:12,1747.12
5692,Dale WARRENDER,08/09/1973,NZL,8,Sydney (AUS),17/08/2000,1031,27.0,2000,2000-2009,26-30,29:07:13,1747.13
5693,Ryan MURPHY,18/10/1998,USA,12f2,"Palo Alto, CA (USA)",29/03/2019,1031,20.0,2019,2010-2019,20-25,29:07:14,1747.14
5694,Tibor FEKETE,01/01/1959,HUN,6,Budapest (HUN),01/06/1986,1031,27.0,1986,1980-1989,26-30,29:07:15,1747.15
5695,Takuya YAMAWAKI,01/04/1981,JPN,42,Yokohama (JPN),30/11/2002,1031,22.0,2002,2000-2009,20-25,29:07:17,1747.17
5696,Yukinori OTA,10/11/1986,JPN,7,Miyoshi (JPN),19/05/2012,1031,26.0,2012,2010-2019,26-30,29:07:19,1747.19
5697,David TOO,nan,KEN,11f2,"Torrance, CA (USA)",18/04/2019,1031,,2019,2010-2019,40+,29:07:22,1747.22
5698,Roman POZDYAYKIN,22/12/1989,RUS,4,Ostrava (CZE),14/07/2011,1031,22.0,2011,2010-2019,20-25,29:07:23,1747.23
5699,Mark ANDREWS,25/10/1970,USA,2,"Philadelphia, PA (USA)",24/04/1997,1031,26.0,1997,1990-1999,26-30,29:07:24,1747.24
5699,Mats GRANSTRÖM,03/02/1983,SWE,3,Helsinki (FIN),28/08/2010,1031,27.0,2010,2010-2019,26-30,29:07:24,1747.24
5699,Satoshi OKIMORI,24/05/1992,JPN,11f3,Tokyo (JPN),29/11/2014,1031,23.0,2014,2010-2019,20-25,29:07:24,1747.24
5702,Willy ROTICH,23/03/1976,KEN,2,Helsinki (FIN),31/05/2011,1031,35.0,2011,2010-2019,31-35,29:07:26,1747.26
5703,Osama ZOGHLAMI,19/06/1994,ITA,1f2,"Pista di Atletica, Vittorio Veneto (ITA)",27/09/2020,1031,26.0,2020,2020+,26-30,29:07:27,1747.27
5704,Shoji TAKADA,15/08/1990,JPN,3f1,Yokohama (JPN),22/10/2016,1031,26.0,2016,2010-2019,26-30,29:07:30,1747.3
5705,Kenta INUMA,01/02/1988,JPN,2f15,Yokohama (JPN),23/09/2017,1030,30.0,2017,2010-2019,26-30,29:07:32,1747.32
5706,Kenyon NEUMAN,12/01/1987,USA,11f1,"Palo Alto, CA (USA)",25/03/2011,1030,23.0,2011,2010-2019,20-25,29:07:33,1747.33
5706,Aaron PULFORD,24/08/1991,NZL,9,Melbourne (AUS),12/12/2013,1030,22.0,2013,2010-2019,20-25,29:07:33,1747.33
5708,Kenta SATO,01/01/1981,JPN,58,Yokohama (JPN),02/12/2007,1030,26.0,2007,2000-2009,26-30,29:07:35,1747.35
5709,Jason LYNCH,nan,USA,20,"Portland, OR (USA)",10/06/2017,1030,,2017,2010-2019,40+,29:07:36,1747.36
5710,Feng LEI,23/09/1985,CHN,4,Changsha (CHN),23/10/2003,1030,18.0,2003,2000-2009,0-19,29:07:37,1747.37
5710,Takahiro GUNJI,05/04/1991,JPN,4f14,Tokyo (JPN),24/11/2012,1030,22.0,2012,2010-2019,20-25,29:07:37,1747.37
5712,Bobby LOCKHART,14/02/1983,USA,28,"Palo Alto, CA (USA)",25/03/2005,1030,22.0,2005,2000-2009,20-25,29:07:38,1747.38
5713,Tanner ANDERSON,nan,USA,3f2,"Palo Alto, CA (USA)",30/03/2018,1030,,2018,2010-2019,40+,29:07:39,1747.39
5714,Javier GARCÍA,27/10/1988,ESP,7f1,Lisboa (POR),29/03/2014,1030,25.0,2014,2010-2019,20-25,29:07:42,1747.42
5715,Ezechiel NIZIGIYIMANA,30/03/1990,BDI,15f1,St-Maur (FRA),06/06/2008,1030,18.0,2008,2000-2009,0-19,29:07:44,1747.44
5715,Hiromasa KUMAHASHI,23/07/1994,JPN,3f2,Hiroshima (JPN),03/10/2015,1030,21.0,2015,2010-2019,20-25,29:07:44,1747.44
5717,Tomonori MORI,25/05/1986,JPN,48,Yokohama (JPN),26/11/2006,1030,21.0,2006,2000-2009,20-25,29:07:52,1747.52
5718,Clement Kimutai KEMBOI,10/02/1992,KEN,1,Pacé (FRA),29/04/2017,1030,25.0,2017,2010-2019,20-25,29:07:55,1747.55
5719,Fyodor SHUTOV,10/02/1986,RUS,8,Cheboksary (RUS),23/07/2009,1030,23.0,2009,2000-2009,20-25,29:07:56,1747.56
5719,Yuki AKIMOTO,07/10/1992,JPN,4f2,Hiroshima (JPN),23/11/2013,1030,21.0,2013,2010-2019,20-25,29:07:56,1747.56
5721,Abdelekrim KABBOURI,03/12/1982,MAR,2,Terni (ITA),09/05/2009,1030,27.0,2009,2000-2009,26-30,29:07:57,1747.57
5721,Sergey PETROV,05/06/1990,RUS,8,Yerino (RUS),09/07/2014,1030,24.0,2014,2010-2019,20-25,29:07:57,1747.57
5723,Tarik BOUZID,24/02/1977,FRA,6,St-Maur (FRA),16/06/2006,1030,29.0,2006,2000-2009,26-30,29:07:61,1747.61
5723,Karl THIESSEN,nan,USA,8,"UVA Lanningan Field, Charlottesville, VA (USA)",16/04/2021,1030,,2021,2020+,40+,29:07:61,1747.61
5725,Ryo KAWAMOTO,22/10/1997,JPN,8f2,Machida (JPN),24/11/2018,1030,21.0,2018,2010-2019,20-25,29:07:62,1747.62
5726,Peter KIPRONO,nan,KEN,12,"Palo Alto, CA (USA)",28/03/2003,1030,,2003,2000-2009,40+,29:07:64,1747.64
5727,Jukka KESKISALO,27/03/1981,FIN,12f2,"Palo Alto, CA (USA)",28/03/2009,1030,28.0,2009,2000-2009,26-30,29:07:66,1747.66
5727,Yuki TAGO,17/03/1992,JPN,4f10,Tokyo (JPN),23/11/2011,1030,20.0,2011,2010-2019,20-25,29:07:66,1747.66
5727,Yasunori ONUMA,11/03/1991,JPN,5f10,Tokyo (JPN),23/11/2011,1030,20.0,2011,2010-2019,20-25,29:07:66,1747.66
5730,Yuto SHOJI,22/09/1986,JPN,1f12,Yokohama (JPN),27/09/2008,1030,22.0,2008,2000-2009,20-25,29:07:69,1747.69
5731,Toru KUBOTA,12/05/2001,JPN,7f6,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05/12/2020,1030,18.0,2020,2020+,0-19,29:07:71,1747.71
5732,Tito MEDRANO,01/02/1990,USA,22f1,"Palo Alto, CA (USA)",06/04/2012,1030,22.0,2012,2010-2019,20-25,29:07:73,1747.73
5733,José MADERA,23/09/1991,MEX,13f2,"Palo Alto, CA (USA)",02/05/2015,1030,23.0,2015,2010-2019,20-25,29:07:75,1747.75
5734,Jeff VEIGA,nan,USA,4,"Philadelphia, PA (USA)",25/04/2013,1030,,2013,2010-2019,40+,29:07:76,1747.76
5735,Karsten MEIER,19/12/1991,GER,2,Regensburg (GER),23/06/2018,1030,27.0,2018,2010-2019,26-30,29:07:78,1747.78
5736,Neil LUBBE,nan,RSA,1,Pretoria (RSA),22/02/2014,1030,,2014,2010-2019,40+,29:07:8,1747.8
5737,Koichi YAMAGUCHI,01/01/1985,JPN,49,Yokohama (JPN),26/11/2006,1030,22.0,2006,2000-2009,20-25,29:07:83,1747.83
5738,Toshiki IMAZAKI,10/04/1990,JPN,13f3,"Hosei University Stadium, Machida (JPN)",25/11/2017,1030,27.0,2017,2010-2019,26-30,29:07:85,1747.85
5739,Ulises AMBROSIO,26/05/1993,PER,1,Lima (PER),20/04/2018,1030,25.0,2018,2010-2019,20-25,29:07:88,1747.88
5740,Jacob HESLINGTON,18/10/1994,USA,15,"Los Angeles, CA (USA)",29/08/2020,1030,26.0,2020,2020+,26-30,29:07:89,1747.89
5741,Gerard GAHUNGU,05/05/1989,BDI,5,Rio de Janeiro (BRA),21/07/2011,1030,22.0,2011,2010-2019,20-25,29:07:90,1747.9
5742,Kei SUGIURA,13/07/1999,JPN,17,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",10/04/2021,1030,22.0,2021,2020+,20-25,29:07:93,1747.93
5743,Nahom SOLOMON,27/09/1995,USA,6f1,"Torrance, CA (USA)",19/04/2018,1030,23.0,2018,2010-2019,20-25,29:07:98,1747.98
5744,Laurent SAUDRAIS,23/09/1970,FRA,2,Varaždin (CRO),26/08/1989,1029,19.0,1989,1980-1989,0-19,29:07:99,1747.99
5745,David SPILLER,10/01/1978,USA,21,"Palo Alto, CA (USA)",05/05/2000,1029,22.0,2000,2000-2009,20-25,29:08:06,1748.06
5745,Martin BECKMANN,15/07/1977,GER,3,Troisdorf (GER),27/05/2000,1029,23.0,2000,2000-2009,20-25,29:08:06,1748.06
5745,Naoya HASHIMOTO,23/04/1981,JPN,5f2,Hiroshima (JPN),23/11/2013,1029,33.0,2013,2010-2019,31-35,29:08:06,1748.06
5748,Yukinobu YAMAMOTO,14/04/1978,JPN,9f13,Yokohama (JPN),27/09/2008,1029,30.0,2008,2000-2009,26-30,29:08:07,1748.07
5748,Sebastiano PAROLINI,09/02/1998,ITA,2f2,"Pista di Atletica, Vittorio Veneto (ITA)",27/09/2020,1029,22.0,2020,2020+,20-25,29:08:07,1748.07
